"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2021","250.70","256.48","268.80","249.19","121.71K","-2.26%"
"Nov 30, 2021","256.50","249.79","263.81","244.59","166.86K","2.68%"
"Nov 29, 2021","249.79","238.90","250.97","233.49","87.05K","4.56%"
"Nov 28, 2021","238.90","232.73","238.90","218.79","82.65K","2.65%"
"Nov 27, 2021","232.73","232.01","243.18","230.28","71.64K","0.31%"
"Nov 26, 2021","232.01","263.07","263.70","226.08","206.28K","-11.65%"
"Nov 25, 2021","262.61","254.49","263.89","252.20","132.35K","3.19%"
"Nov 24, 2021","254.50","269.91","272.01","251.30","118.90K","-5.71%"
"Nov 23, 2021","269.91","263.78","277.41","261.49","192.92K","2.32%"
"Nov 22, 2021","263.78","266.61","268.78","256.40","121.66K","-1.27%"
"Nov 21, 2021","267.18","274.10","274.31","264.20","103.43K","-2.52%"
"Nov 20, 2021","274.09","279.19","280.89","267.41","108.39K","-1.82%"
"Nov 19, 2021","279.19","262.51","280.41","257.89","110.47K","6.35%"
"Nov 18, 2021","262.51","284.59","287.70","255.88","138.82K","-7.76%"
"Nov 17, 2021","284.60","278.21","287.30","267.91","139.96K","2.26%"
"Nov 16, 2021","278.30","301.69","301.69","264.12","240.62K","-7.75%"
"Nov 15, 2021","301.69","315.11","317.19","299.40","125.97K","-4.26%"
"Nov 14, 2021","315.11","312.50","317.49","309.80","90.38K","0.83%"
"Nov 13, 2021","312.50","308.38","314.49","303.12","85.27K","1.34%"
"Nov 12, 2021","308.38","312.11","313.72","296.50","125.25K","-1.19%"
"Nov 11, 2021","312.11","312.79","319.20","307.20","105.35K","-0.22%"
"Nov 10, 2021","312.80","336.50","345.61","296.74","274.97K","-7.04%"
"Nov 09, 2021","336.47","331.81","349.22","326.54","274.71K","1.41%"
"Nov 08, 2021","331.81","319.61","334.91","318.51","129.79K","3.82%"
"Nov 07, 2021","319.61","318.19","323.70","316.61","69.92K","0.45%"
"Nov 06, 2021","318.19","326.13","327.30","307.49","122.07K","-2.57%"
"Nov 05, 2021","326.60","333.21","346.27","324.32","185.47K","-1.98%"
"Nov 04, 2021","333.21","325.04","335.60","313.20","179.63K","2.74%"
"Nov 03, 2021","324.31","324.77","325.40","311.12","163.57K","0.02%"
"Nov 02, 2021","324.23","324.03","328.10","317.78","94.45K","0.06%"
"Nov 01, 2021","324.03","313.99","324.29","302.68","139.46K","3.19%"
"Oct 31, 2021","314.02","318.19","322.82","302.78","126.14K","-1.28%"
"Oct 30, 2021","318.10","327.71","328.50","312.71","153.21K","-2.93%"
"Oct 29, 2021","327.71","339.04","347.59","324.82","219.43K","-3.15%"
"Oct 28, 2021","338.38","324.49","349.20","317.68","385.53K","4.28%"
"Oct 27, 2021","324.51","329.17","459.98","323.32","1.46M","-1.42%"
"Oct 26, 2021","329.17","313.12","345.38","312.30","226.55K","5.12%"
"Oct 25, 2021","313.12","307.52","316.51","306.54","73.24K","1.76%"
"Oct 24, 2021","307.70","324.09","325.20","300.09","84.76K","-5.06%"
"Oct 23, 2021","324.09","310.17","324.09","307.60","62.90K","4.46%"
"Oct 22, 2021","310.26","314.95","326.61","306.51","91.95K","-1.49%"
"Oct 21, 2021","314.95","316.50","337.80","311.07","163.02K","-0.48%"
"Oct 20, 2021","316.48","303.59","317.57","296.52","95.13K","4.24%"
"Oct 19, 2021","303.60","294.21","304.20","292.68","72.98K","3.19%"
"Oct 18, 2021","294.21","304.40","308.19","290.07","73.12K","-3.35%"
"Oct 17, 2021","304.40","304.50","320.75","292.65","108.01K","-0.03%"
"Oct 16, 2021","304.50","301.31","316.30","299.60","102.90K","1.06%"
"Oct 15, 2021","301.31","303.67","304.91","292.34","98.99K","-0.78%"
"Oct 14, 2021","303.67","297.39","310.87","293.50","137.66K","2.05%"
"Oct 13, 2021","297.57","283.98","301.50","282.18","141.06K","4.78%"
"Oct 12, 2021","283.99","290.60","290.60","271.00","108.46K","-2.27%"
"Oct 11, 2021","290.60","288.07","301.72","283.59","70.38K","0.87%"
"Oct 10, 2021","288.09","306.91","307.69","287.36","62.12K","-6.13%"
"Oct 09, 2021","306.91","307.31","313.02","304.31","51.39K","-0.13%"
"Oct 08, 2021","307.31","305.70","323.53","303.39","117.29K","0.53%"
