"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2021","455.25","468.72","496.34","389.86","16.09K","-2.87%"
"Feb 14, 2021","468.72","494.71","508.81","460.88","11.49K","-5.25%"
"Feb 13, 2021","494.71","528.34","542.33","488.33","12.74K","-6.37%"
"Feb 12, 2021","528.34","517.39","543.37","500.26","10.92K","2.12%"
"Feb 11, 2021","517.39","523.64","541.42","508.58","9.69K","-1.19%"
"Feb 10, 2021","523.64","487.98","578.10","487.98","17.10K","7.31%"
"Feb 09, 2021","487.98","489.43","509.92","471.56","9.80K","-0.29%"
"Feb 08, 2021","489.42","472.84","530.35","464.89","13.86K","3.51%"
"Feb 07, 2021","472.83","473.41","481.68","394.85","13.61K","-0.12%"
"Feb 06, 2021","473.41","504.59","509.73","441.90","18.20K","-6.18%"
"Feb 05, 2021","504.59","467.42","541.53","465.87","20.19K","7.95%"
"Feb 04, 2021","467.42","384.61","518.51","384.61","38.15K","21.53%"
"Feb 03, 2021","384.61","303.04","385.46","300.72","12.43K","27.00%"
"Feb 02, 2021","302.85","295.14","306.78","286.02","6.12K","2.60%"
"Feb 01, 2021","295.17","300.08","306.79","284.04","5.83K","-1.61%"
"Jan 31, 2021","300.00","315.11","318.91","293.11","5.50K","-4.99%"
"Jan 30, 2021","315.75","287.76","323.54","282.53","8.58K","9.73%"
"Jan 29, 2021","287.76","296.83","307.93","271.92","9.33K","-3.06%"
"Jan 28, 2021","296.83","286.31","308.58","275.00","8.36K","3.68%"
"Jan 27, 2021","286.31","277.32","298.02","256.29","12.89K","3.24%"
"Jan 26, 2021","277.32","247.27","287.19","240.94","3.87K","12.15%"
"Jan 25, 2021","247.27","266.00","282.90","239.06","4.56K","-7.04%"
"Jan 24, 2021","266.00","213.05","288.85","212.68","5.07K","24.85%"
"Jan 23, 2021","213.05","190.73","219.90","185.99","3.47K","11.70%"
"Jan 22, 2021","190.73","160.36","199.00","147.91","4.75K","18.94%"
"Jan 21, 2021","160.36","196.22","199.00","156.00","4.93K","-18.28%"
"Jan 20, 2021","196.22","187.29","198.64","172.87","2.02K","4.77%"
"Jan 19, 2021","187.29","200.26","209.88","184.86","3.01K","-6.48%"
"Jan 18, 2021","200.26","186.93","200.26","180.75","1.58K","7.18%"
"Jan 17, 2021","186.84","182.43","199.74","175.00","2.07K","2.42%"
"Jan 16, 2021","182.43","166.77","202.34","166.77","3.64K","9.54%"
"Jan 15, 2021","166.54","147.49","168.13","139.96","2.36K","12.92%"
"Jan 14, 2021","147.49","147.49","154.49","139.00","1.87K","0.00%"
"Jan 13, 2021","147.49","127.48","147.69","120.00","3.15K","15.69%"
"Jan 12, 2021","127.48","114.34","135.51","109.47","3.32K","11.21%"
"Jan 11, 2021","114.63","127.14","127.14","95.45","5.55K","-9.83%"
"Jan 10, 2021","127.14","117.45","135.86","111.77","5.14K","8.25%"
"Jan 09, 2021","117.45","110.79","119.00","106.21","1.51K","6.01%"
"Jan 08, 2021","110.79","115.17","119.17","101.30","3.46K","-3.81%"
"Jan 07, 2021","115.17","115.44","128.50","107.75","3.73K","-0.23%"
"Jan 06, 2021","115.44","119.51","120.00","108.12","2.30K","-3.40%"
"Jan 05, 2021","119.51","113.75","123.80","99.00","4.56K","5.10%"
"Jan 04, 2021","113.71","93.37","115.00","86.10","4.56K","21.78%"
"Jan 03, 2021","93.37","85.81","94.89","81.60","4.08K","8.82%"
"Jan 02, 2021","85.81","90.61","91.80","82.53","1.43K","-5.30%"
"Jan 01, 2021","90.61","88.32","90.61","84.91","1.59K","2.59%"
"Dec 31, 2020","88.32","81.25","88.58","78.55","1.34K","8.70%"
"Dec 30, 2020","81.25","78.11","85.86","77.15","2.01K","4.02%"
"Dec 29, 2020","78.11","81.91","82.89","75.08","1.17K","-4.64%"
"Dec 28, 2020","81.91","77.24","85.85","76.41","1.04K","6.05%"
"Dec 27, 2020","77.24","74.99","81.79","72.85","0.53K","3.00%"
"Dec 26, 2020","74.99","79.75","79.94","73.88","0.41K","-5.97%"
"Dec 25, 2020","79.75","80.30","81.53","76.03","0.41K","-0.68%"
"Dec 24, 2020","80.30","75.06","80.54","71.33","1.32K","6.99%"
"Dec 23, 2020","75.06","84.35","84.41","63.44","2.16K","-11.02%"
"Dec 22, 2020","84.35","81.03","86.00","75.75","0.73K","4.10%"
"Dec 21, 2020","81.03","85.75","87.58","77.84","2.37K","-5.52%"
"Dec 20, 2020","85.76","89.16","89.70","83.97","1.93K","-3.81%"
"Dec 19, 2020","89.16","90.00","96.46","88.38","2.70K","-0.93%"
"Dec 18, 2020","90.00","84.87","90.00","81.97","0.54K","6.04%"
"Dec 17, 2020","84.87","87.33","90.00","83.24","1.25K","-2.81%"
"Dec 16, 2020","87.33","87.32","89.56","81.06","1.56K","0.01%"
"Dec 15, 2020","87.32","86.43","88.69","84.44","1.42K","1.03%"
"Dec 14, 2020","86.43","83.56","91.49","79.61","1.94K","3.43%"
"Dec 13, 2020","83.56","77.73","84.68","76.70","1.33K","7.49%"
"Dec 12, 2020","77.74","74.68","80.30","74.68","0.86K","4.10%"
"Dec 11, 2020","74.68","76.53","78.01","71.00","2.86K","-2.43%"
"Dec 10, 2020","76.53","82.00","82.79","75.84","0.70K","-6.67%"
"Dec 09, 2020","82.00","80.10","85.77","75.61","1.15K","2.37%"
"Dec 08, 2020","80.10","90.63","91.03","78.41","2.05K","-11.62%"
"Dec 07, 2020","90.63","88.17","94.70","86.93","2.97K","2.79%"
"Dec 06, 2020","88.17","92.52","92.52","84.86","0.99K","-4.70%"
"Dec 05, 2020","92.52","81.59","92.52","79.00","1.74K","13.40%"
"Dec 04, 2020","81.59","91.17","92.40","80.00","1.44K","-10.51%"
"Dec 03, 2020","91.17","86.46","94.23","83.37","1.85K","5.45%"
"Dec 02, 2020","86.46","74.31","90.50","72.35","2.52K","16.35%"
"Dec 01, 2020","74.31","76.36","78.80","69.24","1.32K","-2.68%"
"Nov 30, 2020","76.36","68.52","79.43","68.52","1.81K","11.44%"
"Nov 29, 2020","68.52","63.89","69.70","61.82","1.73K","7.25%"
"Nov 28, 2020","63.89","60.93","66.13","59.40","0.51K","4.86%"
"Nov 27, 2020","60.93","63.99","68.93","56.85","1.11K","-4.78%"
"Nov 26, 2020","63.99","61.60","65.04","50.14","3.34K","3.88%"
"Nov 25, 2020","61.60","67.16","67.62","58.99","1.47K","-8.28%"
"Nov 24, 2020","67.16","72.20","74.80","66.16","1.96K","-6.98%"
"Nov 23, 2020","72.20","68.98","73.78","66.01","1.10K","4.67%"
"Nov 22, 2020","68.98","70.07","74.21","63.37","1.39K","-1.56%"
"Nov 21, 2020","70.07","74.90","76.79","68.18","1.89K","-6.45%"
"Nov 20, 2020","74.90","75.93","82.44","73.95","0.82K","-1.36%"
"Nov 19, 2020","75.93","76.00","81.46","70.32","2.39K","-0.09%"
"Nov 18, 2020","76.00","79.35","79.71","68.00","3.50K","-4.22%"
"Nov 17, 2020","79.35","72.60","80.00","68.98","1.80K","9.30%"
"Nov 16, 2020","72.60","64.00","74.27","61.05","1.88K","13.44%"
"Nov 15, 2020","64.00","66.91","71.33","59.72","3.25K","-4.35%"
"Nov 14, 2020","66.91","63.42","68.70","57.74","2.19K","5.50%"
"Nov 13, 2020","63.42","51.17","66.29","51.13","2.62K","23.94%"
"Nov 12, 2020","51.17","54.77","59.70","50.42","2.34K","-6.57%"
"Nov 11, 2020","54.77","66.91","68.67","53.44","3.63K","-18.14%"
"Nov 10, 2020","66.91","55.32","70.65","53.48","3.08K","20.95%"
"Nov 09, 2020","55.32","53.72","59.00","49.77","2.54K","2.98%"
"Nov 08, 2020","53.72","44.41","54.55","43.08","1.95K","20.96%"
"Nov 07, 2020","44.41","38.71","51.74","38.71","3.48K","14.72%"
"Nov 06, 2020","38.71","30.84","40.82","30.84","3.49K","25.52%"
"Nov 05, 2020","30.84","25.98","32.17","25.98","1.61K","6,284.53%"
